,x,y,z,h,m,s,name,sporo,code,cluster,site,sex,age,price,cult,type
2086,593584.979666822,2124017.10226132,2774.5,10,58,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2087,593558.713175523,2124013.89400944,2772.1,10,59,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2088,593573.314400726,2124013.96863823,2774.5,10,59,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2089,593570.50413851,2123992.43633073,2772.1,11,0,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2090,593556.012860849,2123970.84432518,2771.1,11,0,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2091,593541.505841654,2123952.32624421,2771.1,11,1,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2092,593526.967384656,2123939.95599847,2770.7,11,1,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2093,593503.65243281,2123930.61492837,2771.6,11,2,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2094,593483.210627862,2123930.51053306,2763,11,2,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2095,593459.974106876,2123905.79996728,2761.5,11,3,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2096,593448.418584396,2123881.14905492,2761.5,11,3,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2097,593428.10222163,2123856.45344158,2759.6,11,4,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2098,593413.547928527,2123847.15720359,2757.7,11,4,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2099,593393.184438431,2123831.68336309,2756.7,11,5,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2100,593369.931992332,2123810.0468341,2755.8,11,5,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2101,593355.330611342,2123809.97237441,2751.4,11,6,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2102,593355.346285505,2123806.89846479,2746.1,11,6,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2103,593340.823260721,2123791.45446932,2748.1,11,7,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2104,593326.362887248,2123763.71484934,2743.3,11,7,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2105,593303.0162861,2123760.52186837,2745.7,11,8,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2106,593282.589962243,2123757.34379611,2744.7,11,8,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2107,593265.09957535,2123751.10671381,2743.7,11,9,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2108,593235.896726846,2123750.95797729,2741.8,11,9,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2109,593209.629813894,2123747.75024571,2737,11,10,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2110,593195.044035368,2123744.60200754,2728.4,11,10,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2111,593177.616185061,2123726.06937755,2729.8,11,11,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2112,593160.172658676,2123710.61067409,2729.8,11,11,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2113,593154.410275234,2123695.21141679,2728.4,11,12,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2114,593145.680672054,2123689.01902909,2731.2,11,12,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2115,593142.744740494,2123692.07808076,2736.5,11,13,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2116,593142.760378025,2123689.00417281,2734.1,11,13,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2117,593139.886995009,2123679.76759326,2737,11,14,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2118,593116.571530801,2123670.42704072,2730.3,11,14,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2119,593105.01539113,2123645.77637652,2727.4,11,15,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2120,593096.238859846,2123648.80573693,2726,11,15,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2121,593075.859263096,2123636.40618028,2724,11,16,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2122,593067.145230395,2123627.13992539,2718.3,11,16,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2123,593070.049908946,2123630.2286765,2724,11,17,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2124,593067.12960605,2123630.21383268,2724,11,17,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2125,593070.01865921,2123636.37649116,2723.1,11,18,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2126,593058.353074566,2123633.24321125,2723.1,11,18,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2127,593037.848480495,2123645.43495577,2720.2,11,19,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2128,593034.9437993,2123642.34620984,2722.1,11,19,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2129,593032.023498571,2123642.33137153,2724.5,11,20,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2130,593031.91416813,2123663.84872157,2714.9,11,20,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2131,593023.122041825,2123669.95202334,2713.5,11,21,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2132,593011.456472256,2123666.81877265,2713,11,21,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2133,592996.839376234,2123669.81851067,2720.2,11,22,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2134,592988.016042248,2123682.06964261,2716.8,11,22,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2135,592970.447452318,2123691.20238367,2714.4,11,23,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2136,592967.605200131,2123675.81802113,2712.5,11,23,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2137,592964.778549912,2123657.3597527,2710.6,11,24,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2138,592958.984773325,2123648.10837866,2704.3,11,24,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2139,592953.237806518,2123629.63528696,2711.1,11,25,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2140,592956.189320139,2123623.50229941,2706.7,11,25,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2141,592944.523711126,2123620.36909322,2709.1,11,26,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2142,592944.554918469,2123614.22128022,2709.6,11,26,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2143,592968.011000996,2123595.89644694,2698.1,11,27,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2144,592965.153120944,2123583.58599344,2698.6,11,27,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2145,592953.534301959,2123571.23106338,2703.4,11,28,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2146,592944.898193501,2123546.59533963,2707.2,11,28,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2147,592950.770032604,2123540.47717499,2709.1,11,29,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2148,592947.849716193,2123540.46235079,2714.9,11,29,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2149,592939.119971312,2123534.27006855,2713.5,11,30,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2150,592942.055891234,2123531.21098507,2703.8,11,30,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2151,592936.16845072,2123540.40305867,2726.4,11,31,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2152,592942.055891234,2123531.21098507,2722.6,11,31,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2153,592939.182379551,2123521.97444374,2724.5,11,32,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2154,592907.121254678,2123509.51580106,2716.3,11,32,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2155,592875.075679433,2123493.98331077,2715.9,11,33,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2156,592851.791028634,2123478.49530167,2711.1,11,33,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2157,592831.411083659,2123466.09603403,2708.2,11,34,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2158,592831.426667129,2123463.02212869,2713.5,11,34,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2159,592802.238966802,2123459.80019809,2706.2,11,35,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2160,592761.401087313,2123450.37132634,2702.9,11,35,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2161,592720.563169812,2123440.9425475,2698.1,11,36,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2162,592691.406542361,2123431.57298717,2698.6,11,36,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2163,592682.645546287,2123431.52864227,2697.6,11,37,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2164,592682.661104508,2123428.45473795,2689.9,11,37,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2165,592673.962333904,2123416.11478033,2689.4,11,38,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2166,592659.438432855,2123400.67136837,2692.8,11,38,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2167,592644.914507178,2123385.22796918,2688.5,11,39,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2168,592627.392472699,2123385.13932993,2686.5,11,39,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2169,592612.821870005,2123378.91766921,2681.7,11,40,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2170,592612.884054214,2123366.62205434,2683.2,11,40,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2171,592615.86658193,2123354.34120915,2681.3,11,41,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2172,592601.358126204,2123335.82394475,2682.2,11,41,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2173,592592.690339891,2123317.33622413,2680.3,11,42,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2174,592595.641774906,2123311.20318332,2685.6,11,42,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2175,592589.878781933,2123295.8041349,2681.7,11,43,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2176,592581.164343187,2123286.53813147,2680.3,11,43,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2177,592578.2595283,2123283.44946468,2680.8,11,44,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2178,592560.737399103,2123283.36089329,2679.3,11,44,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2179,592549.118118353,2123271.00624286,2678.9,11,45,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2180,592537.560951673,2123246.35598904,2677.4,11,45,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2181,592523.036798626,2123230.91269827,2676.4,11,46,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2182,592499.70494758,2123224.6468749,2678.4,11,46,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2183,592470.57891539,2123209.12988258,2676.9,11,47,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2184,592447.262538304,2123199.7902259,2675,11,47,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2185,592447.324605691,2123187.49461725,2675.5,11,48,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2186,592432.738273519,2123184.34701216,2674,11,48,37,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
2187,592423.977164346,2123184.30279598,2671.6,11,49,7,NA,NA,060603_H35H1,0_p,6,H,35,NA,NA,path
